brand,title,type,price,priceWithCurrency,available,availableText,sold,itemLocation,gender,update_year
Lancôme,Lancome Tresor - Romantic 3.4oz Eau de Parfum Spray for Women,Eau de Parfum,43.99,US $43.99/ea,6.0,6 available / 15 sold,15.0,"Dearborn Heights, Michigan, United States",Women,2024
Lancôme,Lancôme Tresor 3.4oz Women's EDP Classic Fragrance New Sealed,Eau de Parfum,43.99,US $43.99/ea,6.0,6 available / 15 sold,15.0,"Ecorse, Michigan, United States",Women,2024
PHLUR,Phlur Missing Person Womens Perfume EDP Spray 0.17 Oz Mini Travel NWOB,Eau de Parfum,15.49,US $15.49/ea,10.0,More than 10 available / 22 sold,22.0,"Potomac, Maryland, United States",Women,2024
Parfums de Marly,Parfums de Marly Delina La Rosee 2.5oz Women's Eau de Parfum New Sealed,Eau de Parfum,100.99,US $100.99,0.0,Last One / 39 sold,39.0,"Buffalo Mills, Pennsylvania, United States",Women,2024
Moschino,Moschino Fresh Couture by Moschino 3.4 oz EDT Perfume for Women Tester,Eau de Toilette,27.54,US $27.54/ea,6.0,6 available / 272 sold,272.0,"Hackensack, New Jersey, United States",Women,2024
Davidoff,Cool Water Womens perfume  1.7 oz / 50 ml EDT Spray by Davidoff  * Authentic *,Eau de Toilette,15.99,US $15.99,10.0,10 available / 98 sold,98.0,"New York, New York, United States",Women,2024
JLO,Glow by J.LO Jennifer Lopez Perfume for Women 3.4 oz New in Box,Eau de Toilette,26.81,US $26.81/ea,0.0,Limited quantity available / 478 sold,478.0,"Dallas, Texas, United States",Women,2024
Gianni Versace,Versace VERSENSE EDT for Women 3.3 / 3.4 oz New tester,Eau de Toilette,38.76,US $38.76/ea,0.0,Limited quantity available / 401 sold,401.0,"Dallas, Texas, United States",Women,2024
Ainash Perfums,Royal Noir Absolu by Ainash 2.5 oz Extrait de Parfum,Extrait de Parfum,58.5,US $58.50,10.0,More than 10 available / 3 sold,3.0,"Miami, Florida, United States",Women,2024
Britney Spears,Curious By Britney Spears Mini EDP Splash Perfume 0.16 oz new no box,Eau de Parfum,10.99,US $10.99/ea,8.0,8 available / 6 sold,6.0,"Point Pleasant Beach, New Jersey, United States",Women,2024
Lancôme,La Vie Est Belle by Lancome 3.4 oz / 100 ml Spray L'Eau De Parfum New & Sealed,Eau de Parfum,42.99,US $42.99/ea,2.0,2 available / 146 sold,146.0,"Reinholds, Pennsylvania, United States",Women,2024
Thierry Mugler,Thierry Mugler Angel 1.7 oz Women's Eau De Parfum | Heavenly Scent Sealed,Eau de Parfum,43.99,US $43.99/ea,10.0,More than 10 available / 20 sold,20.0,"Ecorse, Michigan, United States",Women,2024
Victoria's Secret,VICTORIA'S SECRET SCANDALOUS EAU DE PARFUM SPRAY 1.7 OZ **NEW SEALED BOX**,Eau de Parfum,29.95,US $29.95,10.0,More than 10 available / 46 sold,46.0,"Jamaica, New York, United States",Women,2024
Bvlgari,New Perfume Omnia Amethyste EDT Bvlgari Eau De Toilette Spray 2.2 oz for Women,Eau de Toilette,34.87,US $34.87/ea,10.0,10 available / 27 sold,27.0,"Houston, Texas, HongKong, China",Women,2024
Jennifer Lopez,Glow by J.LO Jennifer Lopez EDT Perfume For Women 1 Oz,Eau de Toilette,15.99,US $15.99,22.0,22 available / 18 sold,18.0,"Highland Park, Michigan, United States",Women,2024
Paris Hilton,Paris Hilton Heiress For Women 3.4 Oz Eau De Parfum Spray,Eau de Parfum,28.0,US $28.00,10.0,More than 10 available / 78 sold,78.0,"Brooklyn, New York, United States",Women,2024
Giorgio Armani,Giorgio Armani My Way Women's Eau de Parfum EDP Travel Splash Mini Sample 0.24oz,Eau de Parfum,16.99,US $16.99,10.0,More than 10 available / 111 sold,111.0,"Sammamish, Washington, United States",Women,2024
Marc Jacobs,Daisy Marc Jacobs Eau So Fresh 10ml Eau De Toilette Spray,Eau de Toilette,18.0,US $18.00,5.0,5 available / 75 sold,75.0,"Hicksville, New York, United States",Women,2024
Victoria's Secret,VERY SEXY Perfume Victoria's Secret 3.4 oz 100 ml  Eau De Parfum BRAND NEW,Eau de Parfum,29.99,US $29.99/ea,7.0,7 available / 98 sold,98.0,"Warren, Michigan, United States",Women,2024
Salvatore Ferragamo,Incanto Charms by Salvatore Ferragamo for women EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,17.79,US $17.79/ea,15.0,"15 available / 2,177 sold",2177.0,"Dallas, Texas, United States",Women,2024
Versace,Versace Bright Crystal 3oz Women's EDT Spray New,Eau de Toilette,33.0,US $33.00/ea,6.0,6 available / 36 sold,36.0,"Dearborn Heights, Michigan, United States",Women,2024
Yardley London,Yardley English Honeysuckle Perfum By Yardley London EDT Spray 4.2oz/125ml Women,Toilette Spray,22.48,US $22.48/ea,10.0,More than 10 available / 30 sold,30.0,"Hauppauge, New York, United States",Women,2024
Lancôme,Lancome La Vie Est Belle 3.4 oz EDP Women's Fragrance Perfume Spray Sealed,Eau de Parfum,49.99,US $49.99/ea,8.0,8 available / 53 sold,53.0,"Southgate, Michigan, United States",Women,2024
Elizabeth Arden,Red Door by Elizabeth Arden 3.3 oz / 100 ml EDT Perfume for Women,Eau de Toilette,24.99,US $24.99,10.0,10 available / 62 sold,62.0,"New York, New York, United States",Women,2024
diptyque,2x Authentic Diptyque Orpheon Eau de Parfum Spray 2ml/.06 fl. oz. Each Free Ship,Eau de Parfum,27.5,US $27.50,9.0,9 available / 12 sold,12.0,"Tulsa, Oklahoma, United States",Women,2024
